iter	Passed	Remaining
0	4	4634
1	8	4359
2	12	4229
3	16	4150
4	20	4099
5	24	4131
6	29	4157
7	33	4133
8	38	4262
9	43	4260
10	47	4261
11	52	4304
12	56	4320
13	61	4310
14	65	4317
15	70	4329
16	74	4319
17	79	4315
18	83	4310
19	88	4314
20	92	4312
21	98	4358
22	104	4444
23	108	4422
24	113	4418
25	117	4415
26	122	4409
27	126	4381
28	130	4368
29	134	4363
30	139	4371
31	144	4359
32	148	4344
33	153	4354
34	158	4357
35	162	4345
36	166	4346
37	171	4338
38	175	4333
39	180	4338
40	185	4334
41	189	4318
42	193	4304
43	198	4307
44	202	4301
45	206	4284
46	210	4276
47	215	4264
48	219	4254
49	223	4249
50	228	4245
51	232	4244
52	237	4246
53	241	4233
54	246	4227
55	250	4229
56	255	4223
57	259	4214
58	264	4214
59	269	4214
60	273	4215
61	278	4220
62	284	4224
63	288	4218
64	293	4220
65	297	4212
66	301	4202
67	305	4190
68	310	4185
69	314	4180
70	319	4178
71	324	4176
72	328	4172
73	333	4167
74	337	4163
75	341	4157
76	346	4148
77	350	4146
78	355	4139
79	358	4128
80	363	4122
81	367	4116
82	380	4199
83	384	4194
84	389	4194
85	394	4191
86	399	4190
87	404	4191
88	409	4187
89	414	4191
90	419	4190
91	424	4193
92	429	4192
93	435	4195
94	440	4199
95	445	4198
96	450	4197
97	456	4203
98	461	4200
99	466	4200
100	471	4198
101	476	4196
102	481	4194
103	486	4193
104	491	4190
105	500	4224
106	505	4222
107	510	4219
108	515	4215
109	520	4214
110	525	4212
111	531	4212
112	536	4212
113	541	4209
114	547	4211
115	552	4210
116	557	4206
117	562	4201
118	567	4198
119	572	4194
120	576	4191
121	581	4185
122	586	4182
123	592	4183
124	597	4184
125	603	4184
126	608	4183
127	613	4178
128	618	4176
129	624	4180
130	629	4177
131	634	4173
132	639	4168
133	644	4163
134	648	4155
135	653	4149
136	657	4144
137	662	4136
138	667	4131
139	671	4125
140	676	4120
141	681	4116
142	686	4112
143	691	4108
144	695	4102
145	700	4097
146	705	4091
147	709	4083
148	713	4077
149	718	4072
150	723	4065
151	727	4060
152	733	4059
153	738	4058
154	743	4052
155	748	4052
156	753	4046
157	758	4043
158	763	4036
159	767	4031
160	772	4026
161	777	4020
162	781	4014
163	786	4008
164	791	4003
165	796	4000
166	808	4030
167	813	4028
168	818	4022
169	822	4017
170	827	4013
171	832	4007
172	836	3999
173	840	3990
174	845	3983
175	848	3974
176	853	3967
177	857	3958
178	861	3949
179	865	3943
180	869	3934
181	873	3927
182	878	3920
183	882	3912
184	887	3909
185	891	3902
186	895	3893
187	900	3887
188	903	3878
189	907	3870
190	912	3864
191	916	3856
192	920	3849
193	924	3841
194	928	3833
195	933	3828
196	937	3819
197	940	3811
198	945	3807
199	950	3801
200	954	3794
201	958	3787
202	962	3780
203	967	3773
204	971	3767
205	975	3760
206	980	3755
207	984	3749
208	988	3741
209	993	3736
210	996	3727
211	1001	3721
212	1006	3720
213	1011	3715
214	1015	3708
215	1020	3703
216	1024	3698
217	1028	3690
218	1033	3684
219	1037	3678
220	1041	3672
221	1046	3667
222	1052	3666
223	1056	3659
224	1060	3653
225	1064	3646
226	1068	3639
227	1073	3633
228	1076	3625
229	1081	3620
230	1085	3615
231	1089	3607
232	1094	3601
233	1098	3596
234	1102	3590
235	1107	3584
236	1111	3578
237	1115	3571
238	1120	3566
239	1124	3560
240	1128	3554
241	1133	3548
242	1136	3541
243	1140	3535
244	1145	3528
245	1148	3521
246	1153	3515
247	1157	3509
248	1161	3503
249	1166	3499
250	1171	3494
251	1175	3489
252	1180	3484
253	1184	3478
254	1188	3472
255	1193	3468
256	1197	3462
257	1201	3456
258	1207	3454
259	1211	3449
260	1216	3444
261	1220	3437
262	1225	3433
263	1229	3427
264	1233	3422
265	1238	3418
266	1243	3412
267	1247	3406
268	1251	3402
269	1256	3396
270	1260	3390
271	1264	3384
272	1268	3379
273	1273	3374
274	1277	3368
275	1281	3361
276	1286	3357
277	1290	3351
278	1294	3345
279	1299	3340
280	1302	3333
281	1306	3327
282	1311	3321
283	1315	3315
284	1319	3311
285	1324	3305
286	1328	3299
287	1332	3294
288	1336	3288
289	1340	3282
290	1345	3277
291	1349	3270
292	1353	3266
293	1358	3261
294	1361	3254
295	1366	3249
296	1371	3245
297	1375	3239
298	1380	3235
299	1384	3229
300	1388	3224
301	1393	3220
302	1397	3215
303	1401	3209
304	1406	3204
305	1410	3198
306	1414	3193
307	1420	3190
308	1424	3185
309	1428	3178
310	1433	3175
311	1437	3169
312	1441	3164
313	1446	3160
314	1451	3155
315	1455	3150
316	1459	3145
317	1464	3139
318	1468	3134
319	1472	3129
320	1477	3124
321	1480	3118
322	1485	3113
323	1489	3107
324	1493	3102
325	1497	3096
326	1501	3090
327	1506	3085
328	1510	3080
329	1514	3074
330	1518	3069
331	1522	3063
332	1526	3058
333	1531	3053
334	1535	3047
335	1539	3042
336	1543	3037
337	1547	3031
338	1552	3026
339	1556	3020
340	1560	3015
341	1564	3010
342	1569	3006
343	1574	3001
344	1578	2996
345	1582	2991
346	1586	2985
347	1591	2980
348	1595	2975
349	1599	2970
350	1604	2965
351	1608	2960
352	1612	2956
353	1617	2951
354	1621	2945
355	1626	2941
356	1630	2936
357	1634	2931
358	1640	2928
359	1644	2923
360	1649	2920
361	1654	2916
362	1659	2912
363	1664	2907
364	1669	2904
365	1674	2900
366	1678	2895
367	1682	2890
368	1687	2885
369	1692	2881
370	1696	2876
371	1701	2872
372	1706	2868
373	1710	2863
374	1715	2858
375	1720	2855
376	1725	2851
377	1730	2847
378	1735	2843
379	1740	2840
380	1745	2836
381	1751	2832
382	1756	2829
383	1760	2824
384	1766	2821
385	1771	2817
386	1775	2812
387	1781	2810
388	1787	2807
389	1791	2802
390	1796	2797
391	1800	2793
392	1806	2789
393	1811	2786
394	1815	2781
395	1820	2777
396	1826	2773
397	1831	2769
398	1835	2765
399	1840	2761
400	1845	2756
401	1849	2751
402	1853	2746
403	1865	2752
404	1870	2747
405	1874	2742
406	1878	2737
407	1882	2732
408	1887	2727
409	1891	2722
410	1895	2716
411	1899	2710
412	1903	2705
413	1907	2699
414	1911	2694
415	1915	2689
416	1919	2684
417	1923	2678
418	1927	2673
419	1932	2668
420	1935	2662
421	1940	2657
422	1945	2653
423	1950	2649
424	1955	2645
425	1960	2641
426	1965	2637
427	1970	2633
428	1975	2629
429	1981	2626
430	1986	2622
431	1992	2619
432	1997	2615
433	2002	2611
434	2007	2607
435	2013	2604
436	2019	2601
437	2025	2598
438	2030	2595
439	2035	2591
440	2040	2586
441	2046	2584
442	2051	2579
443	2056	2574
444	2061	2570
445	2067	2568
446	2072	2563
447	2076	2558
448	2081	2553
449	2086	2549
450	2091	2545
451	2095	2540
452	2100	2536
453	2105	2531
454	2109	2526
455	2113	2521
456	2118	2516
457	2122	2511
458	2142	2524
459	2146	2520
460	2150	2514
461	2155	2509
462	2159	2504
463	2163	2499
464	2167	2493
465	2172	2489
466	2176	2484
467	2180	2479
468	2185	2474
469	2189	2469
470	2194	2464
471	2199	2460
472	2204	2456
473	2208	2450
474	2212	2445
475	2216	2440
476	2220	2434
477	2224	2429
478	2228	2424
479	2233	2419
480	2237	2414
481	2242	2409
482	2247	2405
483	2252	2401
484	2256	2396
485	2261	2391
486	2265	2386
487	2269	2381
488	2274	2376
489	2278	2371
490	2283	2367
491	2288	2363
492	2294	2359
493	2298	2354
494	2303	2350
495	2308	2345
496	2313	2341
497	2317	2336
498	2322	2331
499	2327	2327
500	2333	2323
501	2338	2320
502	2343	2315
503	2348	2311
504	2354	2307
505	2358	2302
506	2364	2298
507	2369	2294
508	2374	2290
509	2379	2286
510	2384	2281
511	2389	2277
512	2394	2273
513	2399	2268
514	2403	2263
515	2407	2258
516	2412	2254
517	2416	2248
518	2420	2243
519	2425	2238
520	2429	2233
521	2433	2228
522	2438	2224
523	2443	2219
524	2447	2214
525	2451	2209
526	2455	2204
527	2460	2199
528	2464	2194
529	2468	2188
530	2472	2183
531	2477	2179
532	2481	2174
533	2486	2169
534	2490	2164
535	2494	2159
536	2499	2155
537	2503	2150
538	2507	2144
539	2512	2139
540	2516	2134
541	2520	2129
542	2524	2124
543	2528	2119
544	2546	2125
545	2550	2120
546	2556	2116
547	2561	2112
548	2566	2108
549	2570	2103
550	2576	2099
551	2581	2095
552	2587	2091
553	2592	2087
554	2597	2082
555	2602	2078
556	2607	2073
557	2611	2068
558	2616	2063
559	2621	2060
560	2626	2055
561	2631	2050
562	2636	2046
563	2642	2042
564	2647	2037
565	2651	2033
566	2656	2028
567	2662	2024
568	2667	2020
569	2671	2015
570	2675	2010
571	2680	2005
572	2684	2000
573	2688	1995
574	2693	1990
575	2697	1985
576	2702	1981
577	2707	1976
578	2712	1972
579	2716	1967
580	2721	1962
581	2726	1958
582	2732	1954
583	2737	1949
584	2742	1945
585	2748	1941
586	2754	1937
587	2759	1933
588	2765	1929
589	2770	1925
590	2776	1921
591	2782	1917
592	2788	1913
593	2794	1910
594	2800	1906
595	2805	1901
596	2810	1897
597	2815	1892
598	2821	1888
599	2826	1884
600	2831	1880
601	2837	1875
602	2841	1870
603	2863	1877
604	2869	1873
605	2875	1869
606	2881	1865
607	2886	1860
608	2891	1856
609	2896	1852
610	2902	1848
611	2909	1844
612	2916	1841
613	2923	1838
614	2930	1834
615	2937	1830
616	2943	1827
617	2949	1823
618	2955	1819
619	2962	1815
620	2969	1812
621	2976	1808
622	2982	1805
623	2988	1800
624	2993	1796
625	2998	1791
626	3003	1786
627	3009	1782
628	3014	1777
629	3019	1773
630	3024	1768
631	3031	1765
632	3038	1761
633	3044	1757
634	3050	1753
635	3056	1749
636	3061	1744
637	3066	1739
638	3071	1735
639	3076	1730
640	3083	1726
641	3088	1722
642	3094	1717
643	3099	1713
644	3104	1708
645	3110	1704
646	3116	1700
647	3123	1696
648	3129	1692
649	3135	1688
650	3141	1684
651	3148	1680
652	3153	1675
653	3159	1671
654	3164	1666
655	3169	1662
656	3175	1657
657	3181	1653
658	3187	1649
659	3194	1645
660	3199	1640
661	3205	1636
662	3210	1631
663	3216	1627
664	3223	1623
665	3231	1620
666	3238	1616
667	3245	1612
668	3253	1609
669	3260	1605
670	3267	1602
671	3274	1598
672	3281	1594
673	3287	1590
674	3293	1585
675	3300	1582
676	3308	1578
677	3315	1574
678	3321	1570
679	3327	1565
680	3334	1561
681	3340	1557
682	3346	1553
683	3352	1548
684	3360	1545
685	3366	1541
686	3373	1536
687	3379	1532
688	3385	1527
689	3390	1523
690	3397	1519
691	3403	1514
692	3409	1510
693	3414	1505
694	3420	1501
695	3426	1496
696	3433	1492
697	3440	1488
698	3447	1484
699	3454	1480
700	3460	1476
701	3468	1472
702	3476	1468
703	3483	1464
704	3489	1460
705	3495	1455
706	3501	1451
707	3507	1446
708	3513	1441
709	3519	1437
710	3524	1432
711	3530	1428
712	3536	1423
713	3541	1418
714	3546	1413
715	3553	1409
716	3558	1404
717	3565	1400
718	3571	1395
719	3577	1391
720	3583	1386
721	3588	1381
722	3594	1376
723	3599	1372
724	3605	1367
725	3612	1363
726	3625	1361
727	3631	1356
728	3637	1352
729	3644	1347
730	3650	1343
731	3657	1339
732	3662	1334
733	3671	1330
734	3677	1326
735	3683	1321
736	3687	1316
737	3693	1311
738	3698	1306
739	3704	1301
740	3710	1296
741	3715	1291
742	3720	1286
743	3725	1281
744	3731	1277
745	3736	1272
746	3741	1267
747	3746	1262
748	3752	1257
749	3757	1252
750	3762	1247
751	3766	1242
752	3771	1237
753	3777	1232
754	3782	1227
755	3786	1222
756	3792	1217
757	3797	1212
758	3802	1207
759	3808	1202
760	3813	1197
761	3818	1192
762	3824	1188
763	3829	1182
764	3834	1178
765	3839	1172
766	3849	1169
767	3854	1164
768	3859	1159
769	3865	1154
770	3871	1149
771	3881	1146
772	3886	1141
773	3891	1136
774	3897	1131
775	3901	1126
776	3906	1121
777	3911	1116
778	3916	1111
779	3921	1105
780	3925	1100
781	3931	1095
782	3935	1090
783	3939	1085
784	3944	1080
785	3947	1074
786	3952	1069
787	3956	1064
788	3960	1059
789	3964	1053
790	3968	1048
791	3972	1043
792	3978	1038
793	3983	1033
794	3987	1028
795	3993	1023
796	3998	1018
797	4004	1013
798	4009	1008
799	4015	1003
800	4020	998
801	4025	993
802	4031	988
803	4036	983
804	4040	978
805	4046	973
806	4051	969
807	4057	964
808	4062	959
809	4067	954
810	4072	949
811	4077	944
812	4082	938
813	4087	934
814	4092	929
815	4098	924
816	4103	919
817	4107	913
818	4112	908
819	4117	903
820	4122	898
821	4127	893
822	4132	888
823	4137	883
824	4141	878
825	4146	873
826	4150	868
827	4154	863
828	4160	858
829	4165	853
830	4169	848
831	4174	842
832	4179	837
833	4184	832
834	4189	827
835	4194	822
836	4199	817
837	4204	812
838	4209	807
839	4213	802
840	4218	797
841	4223	792
842	4228	787
843	4234	782
844	4239	777
845	4245	772
846	4250	767
847	4255	762
848	4260	757
849	4266	752
850	4272	748
851	4277	743
852	4281	737
853	4287	732
854	4292	728
855	4297	723
856	4302	717
857	4307	712
858	4312	707
859	4316	702
860	4321	697
861	4326	692
862	4331	687
863	4335	682
864	4340	677
865	4344	672
866	4349	667
867	4353	662
868	4358	657
869	4362	651
870	4366	646
871	4371	641
872	4375	636
873	4379	631
874	4384	626
875	4388	621
876	4392	616
877	4397	610
878	4400	605
879	4405	600
880	4409	595
881	4413	590
882	4418	585
883	4423	580
884	4427	575
885	4431	570
886	4435	565
887	4440	560
888	4445	555
889	4448	549
890	4453	544
891	4457	539
892	4461	534
893	4465	529
894	4470	524
895	4474	519
896	4479	514
897	4484	509
898	4488	504
899	4493	499
900	4497	494
901	4501	489
902	4506	484
903	4510	478
904	4514	473
905	4519	468
906	4523	463
907	4527	458
908	4532	453
909	4536	448
910	4540	443
911	4545	438
912	4548	433
913	4553	428
914	4557	423
915	4561	418
916	4565	413
917	4569	408
918	4573	403
919	4577	398
920	4582	393
921	4586	388
922	4590	382
923	4594	377
924	4599	372
925	4603	367
926	4607	362
927	4612	357
928	4616	352
929	4620	347
930	4624	342
931	4628	337
932	4632	332
933	4637	327
934	4641	322
935	4646	317
936	4650	312
937	4654	307
938	4659	302
939	4663	297
940	4667	292
941	4672	287
942	4676	282
943	4682	277
944	4687	272
945	4691	267
946	4695	262
947	4700	257
948	4704	252
949	4708	247
950	4713	242
951	4718	237
952	4722	232
953	4726	227
954	4730	222
955	4734	217
956	4739	212
957	4743	207
958	4747	202
959	4751	197
960	4755	192
961	4759	188
962	4764	183
963	4767	178
964	4772	173
965	4776	168
966	4780	163
967	4784	158
968	4788	153
969	4793	148
970	4797	143
971	4801	138
972	4806	133
973	4811	128
974	4815	123
975	4820	118
976	4825	113
977	4829	108
978	4833	103
979	4840	98
980	4846	93
981	4850	88
982	4855	83
983	4859	79
984	4864	74
985	4867	69
986	4873	64
987	4877	59
988	4882	54
989	4887	49
990	4891	44
991	4896	39
992	4900	34
993	4904	29
994	4908	24
995	4912	19
996	4917	14
997	4921	9
998	4925	4
999	4929	0
